Option,Priorité abordée,Systèmes appropriés,Espèces appropriées,Description et contraintes de mise en œuvre
Diversification des espèces,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial, Pâturages, Systèmes intensifs confinés","Bovins, Volaille, Porcs, Moutons, Chèvres","Élever plusieurs espèces animales au sein du même système agricole. Cette stratégie vise à obtenir une variété d'avantages, tels que l'atténuation des risques, la stabilité économique, l'optimisation des ressources et un impact environnemental plus faible. Au lieu de se concentrer exclusivement sur une espèce, les agriculteurs diversifient en intégrant différents types de bétail. La diversification des espèces est généralement limitée par le travail et les connaissances."
Changement entre les espèces,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial, Pâturages, Systèmes intensifs confinés","Bovins, Volaille, Porcs, Moutons, Chèvres","Passer d'une espèce à une autre au sein du même système agricole. Cela peut augmenter la résilience (par exemple, passer des bovins aux chèvres, moutons et chameaux plus tolérants à la sécheresse), réduire les émissions agricoles (par exemple, passer des ruminants aux porcs ou à la volaille), et accélérer la rotation de trésorerie des ménages (par exemple, passer de gros animaux à de petits animaux qui peuvent être achetés ou vendus facilement en réponse à des besoins financiers urgents). Cette option peut être limitée par le travail, les connaissances et les coûts."
Amélioration des fourrages et de l'alimentation,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial",Bovins,"Mise en œuvre de pratiques avancées pour améliorer la qualité et l'efficacité des fourrages et suppléments donnés aux animaux, et améliorer leur nutrition. Cette approche vise à améliorer la santé animale, la productivité et la durabilité globale de l'exploitation. Cette option est généralement limitée par la disponibilité des fourrages et suppléments (surtout pendant la saison sèche), le travail, les connaissances et les coûts."
Amélioration de la gestion des pâturages,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial, Pâturages",Bovins,"Gestion des terres de  pâturages pour optimiser l'utilisation des fourrages et promouvoir une production de bétail durable et efficace. Cette approche implique diverses techniques et principes visant à maximiser les avantages du pâturage pour le bétail et les terres. L'amélioration du pâturage comprend le pâturage tournant, la planification du pâturage, les périodes de repos, la sélection des espèces, la gestion de l'eau, le clôturage et les infrastructures, et le suivi des déplacements des animaux dans l'exploitation. La tenure foncière, le travail et les connaissances peuvent être des contraintes importantes pour l'expansion de l'amélioration du pâturage, tout comme les coûts."
Reconstitution et déstockage,Adaptation,Pâturages,Bovins,"Ajustement de la taille du troupeau pour s'adapter aux changements saisonniers de l'approvisionnement alimentaire. Augmenter la taille des troupeaux pendant les périodes de récupération pour éviter la perte totale du troupeau pendant les sécheresses. Pendant les sécheresses, réduction du nombre d'animaux plus faibles pour des besoins alimentaires et financiers. Les contraintes incluent l'accessibilité au marché, les fluctuations des prix, les considérations socioculturelles. La récupération des troupeaux dans des environnements plus arides peut prendre de nombreuses années."
Gestion du fumier,Adaptation et atténuation,Systèmes confinés intensifs,"Bovins, Porcs, Volaille","Manipulation, traitement et utilisation systématiques du fumier animal dans les opérations agricoles et d'élevage. Cela implique la mise en œuvre de pratiques pour gérer efficacement et capitaliser sur le matériel organique riche en nutriments produit par les animaux. Le travail est la principale contrainte pour la gestion du fumier, les coûts et les connaissances peuvent également être des goulets d'étranglement importants. En Afrique de l'Est, par exemple, l'élimination du fumier est un problème complexe car les animaux produisent plus de fumier qu'il ne peut être recyclé dans les zones agricoles environnantes."
Gestion de l'eau,Adaptation,"Mixte irrigué, Mixte pluvial, Pâturages, Systèmes confinés intensifs","Bovins, Volaille, Porcs, Moutons, Chèvres","Augmentation de l'accès des animaux à l'eau et amélioration de l'efficacité de son utilisation. Des exemples incluent la collecte d'eau de pluie dans des étangs et le creusement d'un puits pour exploiter les eaux souterraines. Les contraintes incluent les coûts, la tenure foncière, le travail et la maintenance des étangs ou puits."
Nouvelles races,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial, Pâturages, Systèmes confinés intensifs","Bovins, Volaille, Porcs, Moutons, Chèvres","Variétés d'animaux élevées sélectivement au sein de l'industrie du bétail. Ces races sont souvent créées avec des objectifs spécifiques en tête, tels que l'amélioration de la productivité, l'adaptabilité à certains environnements, la résistance aux maladies ou l'amélioration des traits désirables à des fins agricoles. L'accessibilité, les coûts et les connaissances empêchent souvent une adoption généralisée de nouvelles races par les agriculteurs disposant de ressources financières limitées. En savoir plus sur l'élevage de bétail dans cette collection d'articles https://hdl.handle.net/10568/41914. Cette option peut également inclure l'utilisation de races ""non améliorées"" possédant des traits désirables, tels que la trypanotolérance chez les bovins. En Afrique, il existe une variation génétique considérable chez les races indigènes qui pourrait être utilisée par les agriculteurs, bien que l'accessibilité limitée aux informations et les coûts soient des contraintes majeures."
Restauration des pâturages,Adaptation et atténuation,Pâturages,Bovins,"Réhabiliter et améliorer la santé écologique et la productivité des écosystèmes naturels des pâturages. Les stratégies de restauration des pâturages incluent la gestion de la végétation, la gestion du pâturage, la gestion de l'eau, la conservation des sols, la lutte contre les espèces invasives, la restauration de l'habitat de la faune et l'engagement communautaire. Les goulots d'étranglement pour l'expansion de la restauration des pâturages incluent les coûts et les connaissances. En savoir plus sur le travail de restauration des pâturages de CGIAR utilisant la gestion participative des pâturages (PRM) à https://hdl.handle.net/10568/136023."
Systèmes sylvopastoraux,Adaptation et atténuation,"Mixte irrigué, Mixte pluvial, Pâturages","Bovins, Moutons, Chèvres","Intégrer les arbres, les fourrages et le bétail de manière mutuellement bénéfique au sein d'une seule unité de gestion foncière. Ces systèmes sont conçus pour optimiser les fonctions écologiques, économiques et sociales des composants forestiers et du bétail. Les systèmes sylvopastoraux pourraient augmenter la productivité, diminuer les émissions de GES, améliorer le potentiel de stockage de carbone et aider à l'adaptation au stress thermique. La scalabilité des systèmes sylvopastoraux a été limitée par plusieurs facteurs, notamment les connaissances, les coûts et la tenure foncière. En savoir plus sur les mises en œuvre des systèmes sylvopastoraux ici (https://hdl.handle.net/10568/125046), et sur leurs principaux avantages environnementaux ici (https://doi.org/10.3389/fsufs.2021.742842)."
